Gene	citekey	Tier	QC	Novel
IGLL5	chapuyMolecularSubtypesDiffuse2018b	2	NA	FALSE
KMT2D	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
BTG2	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
B2M	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
PIM1	pasqualucciHypermutationMultipleProtooncogenes2001a	1	NA	FALSE
CARD11	lenzOncogenicCARD11Mutations2008	1	NA	FALSE
ATM	reddyGeneticFunctionalDrivers2017	1	NA	FALSE
EGFR	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
P2RY8	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
STAT3	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
TNFAIP3	compagnoMutationsMultipleGenes2009a	1	NA	FALSE
HLA-C	chapuyMolecularSubtypesDiffuse2018b	1	NA	FALSE
IRF4	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
MYD88	ngoOncogenicallyActiveMYD882011a	1	NA	FALSE
PDE4DIP	chapuyMolecularSubtypesDiffuse2018b	3	FAIL	FALSE
RHPN2	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
ZNF814	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
AGA	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
CREBBP	pasqualucciInactivatingMutationsAcetyltransferase2011a	1	NA	FALSE
DOCK5	fanComprehensiveCharacterizationDriver2020b	3	NA	TRUE
KDR	zhangGeneticHeterogeneityDiffuse2013	3	NA	FALSE
TMSB4X	reddyGeneticFunctionalDrivers2017	1	NA	FALSE
ARID1A	zhangGeneticHeterogeneityDiffuse2013	1	NA	FALSE
CD79B	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
CIITA	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
FAS	schollMutationsRegionFAS2007	1	NA	FALSE
FLNC	zhangGeneticHeterogeneityDiffuse2013	3	NA	FALSE
HLA-A	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
MYC	pasqualucciHypermutationMultipleProtooncogenes2001a	1	NA	FALSE
NF1	zhangGeneticHeterogeneityDiffuse2013	2	NA	FALSE
PCDH7	zhangGeneticHeterogeneityDiffuse2013	3	NA	FALSE
