Gene	citekey	Tier	QC	Novel
TP53	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
MYD88	ngoOncogenicallyActiveMYD882011a	1	NA	FALSE
CREBBP	pasqualucciInactivatingMutationsAcetyltransferase2011a	1	NA	FALSE
CD79B	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
HLA-B	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
CD70	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
FAS	schollMutationsRegionFAS2007	1	NA	FALSE
KLHL6	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
PRDM1	pasqualucciInactivationPRDM1BLIMP12006a	1	NA	FALSE
TBL1XR1	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
BTG1	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
BCL2	tanakaFrequentIncidenceSomatic1992	1	NA	FALSE
CARD11	lenzOncogenicCARD11Mutations2008	1	NA	FALSE
HLA-A	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
PIM1	pasqualucciHypermutationMultipleProtooncogenes2001a	1	NA	FALSE
CCND3	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
B2M	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
TNFRSF14	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
HIST1H1C	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
TMEM30A	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
TMSB4X	albuquerqueEnhancingKnowledgeDiscovery2017a	1	NA	FALSE
EBF1	bohleRoleEarlyBcell2013	1	NA	FALSE
CD58	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
TNFAIP3	compagnoMutationsMultipleGenes2009a	1	NA	FALSE
KMT2D	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
MEF2B	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
NFKBIA	lakeMutationsNFKBIAEncoding2009	1	NA	FALSE
HLA-C	chapuyMolecularSubtypesDiffuse2018b	1	NA	TRUE
RHOA	zhangGeneticHeterogeneityDiffuse2013	1	NA	FALSE
EEF1A1	hubschmannMutationalMechanismsShaping2021b	1	NA	FALSE
UBE2A	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
EZH2	morinSomaticMutationsAltering2010a	1	NA	FALSE
POU2AF1	chapuyMolecularSubtypesDiffuse2018b	1	NA	TRUE
HIST1H1E	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
POU2F2	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
BRAF	tiacciBRAFMutationsHairycell2011a	1	NA	FALSE
SGK1	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
IGLL5	chapuyMolecularSubtypesDiffuse2018b	2	NA	TRUE
STAT3	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
GNA13	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
BCL6	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
ACTB	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
STAT6	yildizActivatingSTAT6Mutations2015c	1	NA	FALSE
LYN	chapuyMolecularSubtypesDiffuse2018b	2	PASS	TRUE
HVCN1	chapuyMolecularSubtypesDiffuse2018b	1	NA	TRUE
ETV6	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
NOTCH2	zhangGeneticHeterogeneityDiffuse2013	1	NA	FALSE
CXCR4	khodabakhshiRecurrentTargetsAberrant2012	1	NA	FALSE
KRAS	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
IKZF3	morinFrequentMutationHistonemodifying2011	1	NA	FALSE
TOX	reddyGeneticFunctionalDrivers2017	1	NA	FALSE
HIST1H1B	chapuyMolecularSubtypesDiffuse2018b	1	NA	TRUE
HIST1H2BC	lohrDiscoveryPrioritizationSomatic2012a	1	NA	FALSE
CRIP1	chapuyMolecularSubtypesDiffuse2018b	2	PASS	TRUE
